state_names,district_names,population,total_treatment_alb_mbd,total_target_alb,total_target_mbd,lf_alb_total_procured,sac_alb_total_procured,sth_mbd_total_procured,pzq_total_treatment,pzq_total_procured,ivm_total_treatment,ivm_total_procured
Kayes,Bafoulabe,172888,0,0,0,0,0,0,15974.970000000001,39977.425,137446,385618.8
Kayes,Oussoubidiagna,141453,0,0,0,0,0,0,13070.310000000001,32708.775,112455,315504.0
Kayes,Diema,284961,0,0,0,0,0,0,26330.370000000003,65891.925,0,0.0
Kayes,Kayes,689836,0,0,0,0,0,0,63740.82,159512.05,548420,1538648.0
Kayes,Kenieba,260896,0,0,0,0,0,0,24106.83,60328.075000000004,207412,581915.6
Kayes,Kita,464377,0,0,0,0,0,0,0.0,0.0,369180,1035771.9999999999
Kayes,Sefeto,64841,0,0,0,0,0,0,0.0,0.0,51548,144623.4
Kayes,Sagabari,54485,0,0,0,0,0,0,0.0,0.0,43316,121527.79999999999
Kayes,Nioro,309720,0,0,0,0,0,0,28618.260000000002,71617.65000000001,0,0.0
Kayes,Yelimane,239783,0,0,0,0,0,0,0.0,0.0,0,0.0
Koulikoro,Banamba ,256470,0,0,0,0,0,0,23697.960000000003,59304.90000000001,0,0.0
Koulikoro,Dioila,357608,150195,150195,0,0,100631,0,0.0,0.0,284298,797627.3999999999
Koulikoro,Fana,304629,0,0,0,0,0,0,28147.68,70440.2,242180,679461.0
Koulikoro,Kalaban Coro,392500,0,0,0,0,0,0,36267.0,90758.5,312038,875454.3999999999
Koulikoro,Kangaba,135787,0,0,0,0,0,0,12546.6,31398.5,107950,302865.0
Koulikoro,Kati,617310,259270,259270,0,0,173712,0,57039.51,142741.775,490762,1376882.5999999999
Koulikoro,Kolokani,315364,132453,132453,0,0,88744,0,29139.66,72922.15,250714,703403.2
Koulikoro,Koulikoro,284604,0,0,0,0,0,0,26297.370000000003,65809.425,226260,634796.0
Koulikoro,Nara,327593,0,0,0,0,0,0,30269.58,75749.95000000001,0,0.0
Koulikoro,Ouelessebougou,268430,0,0,0,0,0,0,24802.800000000003,62070.00000000001,213401,598718.7999999999
Sikasso,Bougouni,622548,0,0,0,0,0,0,57523.29,143952.225,0,0.0
Sikasso,Kadiolo,324766,0,0,0,0,0,0,30008.22,75096.55,0,0.0
Sikasso,Kignan,157265,0,0,0,0,0,0,0.0,0.0,125025,350771.0
Sikasso,Kolondieba,274509,0,0,0,0,0,0,0.0,0.0,218235,612281.0
Sikasso,Koutiala,779359,327331,327331,0,0,219313,0,0.0,0.0,0,0.0
Sikasso,Niena,165128,0,0,0,0,0,0,15257.880000000001,38183.700000000004,131277,368311.6
Sikasso,Sélingué,111922,0,0,0,0,0,0,10341.54,25879.850000000002,88978,249637.4
Sikasso,Sikasso,660514,0,0,0,0,0,0,61031.520000000004,152731.80000000002,525109,1473246.2
Sikasso,Yanfolila,175059,0,0,0,0,0,0,0.0,0.0,0,0.0
Sikasso,Yorosso,286553,120352,120352,0,0,80637,0,0.0,0.0,0,0.0
Segou,Barouéli,274220,0,0,0,0,0,0,25338.06,63409.15,0,0.0
Segou,Bla,382146,160501,160501,0,0,107537,0,35310.33,88364.82500000001,0,0.0
Segou,Macina,319925,0,0,0,0,0,0,29561.07,73976.675,0,0.0
Segou,Markala,242160,0,0,0,0,0,0,22375.65,55995.125,0,0.0
Segou,Niono,492320,0,0,0,0,0,0,45490.5,113840.25,0,0.0
Segou,San,451187,0,0,0,0,0,0,41689.560000000005,104328.90000000001,0,0.0
Segou,Ségou,689227,0,0,0,0,0,0,63684.72,159371.8,0,0.0
Segou,Tominian,296183,0,0,0,0,0,0,0.0,0.0,0,0.0
Mopti,Bandiagara,427665,0,0,0,0,0,0,39516.18,98889.45,0,0.0
Mopti,Bankass,354336,148821,148821,0,0,99711,0,32740.620000000003,81933.55,0,0.0
Mopti,Djenne,278766,0,0,0,0,0,0,25757.82,64459.55,0,0.0
Mopti,Douentza,333284,139980,46660,0,266286,0,0,30795.600000000002,77066.0,264961,743374.7999999999
Mopti,Koro,486816,204462,204462,0,0,136990,0,0.0,0.0,0,0.0
Mopti,Mopti,495650,0,0,0,0,0,0,45798.060000000005,114610.15000000001,0,0.0
Mopti,Tenenkou,220098,92441,30814,0,175852,0,0,20336.91,50893.275,174977,490915.6
Mopti,Youwarou,143603,60313,20104,0,114736,0,0,13268.970000000001,33206.425,114165,320302.0
Tombouctou,Diré,148375,62318,20773,0,118548,0,0,13709.85,34309.625,117958,330943.39999999997
Tombouctou,Goundam,201618,84680,28227,0,161088,0,0,18629.49,46620.725000000006,160286,449698.8
Tombouctou,Gourma-Rharous,149417,62755,20918,0,119381,0,0,13806.210000000001,34550.525,118787,333269.6
Tombouctou,Niafunké,247206,103827,34609,0,197512,0,0,22841.940000000002,57162.850000000006,196529,551382.2
Tombouctou,Tombouctou,167071,70170,23390,0,133487,0,0,15437.400000000001,38632.5,132822,372645.6
Gao,Ansongo,177461,74534,24845,0,141787,0,0,16397.37,41034.424999999996,141081,395817.8
Gao,Bourem,143694,60351,20117,0,114808,0,0,13277.220000000001,33227.05,114236,320500.8
Gao,Gao,321958,135222,45074,0,257236,0,0,29748.84,74447.1,255956,718110.7999999999
Gao,Almoustrat,11958,5022,1674,0,9554,0,0,1104.8400000000001,0.0,9506,26670.8
Kidal,Abeibara,13865,5823,1941,0,11078,0,0,0.0,0.0,11022,30923.6
Kidal,Kidal,44598,18731,6244,0,35633,0,0,0.0,0.0,35455,99473.0
Kidal,Tessalit,21956,9222,3074,0,17543,0,0,0.0,0.0,17455,48972.0
Kidal,Tin-Essako,10751,4515,1505,0,8590,0,0,0.0,0.0,8547,23979.6
Bamako,Commune 1,451757,0,0,0,0,0,0,41742.36,104460.9,0,0.0
Bamako,Commune 2,215240,0,0,0,0,0,0,19888.11,49770.275,0,0.0
Bamako,Commune 3,173577,0,0,0,0,0,0,16038.66,40137.65,0,0.0
Bamako,Commune 4,404182,0,0,0,0,0,0,37346.43,93460.075,0,0.0
Bamako,Commune 5,558514,0,0,0,0,0,0,51606.72,129146.8,0,0.0
Bamako,Commune 6,633402,0,0,0,0,0,0,58526.490000000005,146463.225,0,0.0
Taoudenit,Achourat,33395,14026,4675,0,26682,0,0,3085.83,7722.575,26549,74486.2
Taoudenit,Al-Ourch,55922,23487,7829,0,44681,0,0,5167.14,12930.85,44458,124731.4
Taoudenit,Araouane,27463,11535,3845,0,21943,0,0,2537.7000000000003,6351.250000000001,21833,61255.399999999994
Taoudenit,Boujbeha,30366,12753,4251,0,24261,0,0,2805.6600000000003,7022.150000000001,24140,67728.0
Taoudenit,Foum-Elba,16179,6795,2265,0,12927,0,0,1494.9,3741.25,12862,36086.6
Taoudenit,Taoudenit,23184,9738,3246,0,18525,0,0,2142.36,5361.900000000001,18432,51713.6
Menaka,Anderamboukane,15815,6642,2214,0,12636,0,0,1461.24,3657.1,12573,35275.399999999994
Menaka,Inekar,6024,2530,843,0,4813,0,0,556.71,1393.775,4789,13436.199999999999
Menaka,Menaka,49703,20875,6958,0,39712,0,0,4592.610000000001,11493.525000000001,39514,110861.2
Menaka,Tidermene,3765,1581,527,0,3008,0,0,347.82,870.55,2993,8397.4
